image_name,tags
test_47,haze primary habitation road cultivation slash_burn
test_48,haze primary habitation road cultivation slash_burn conventional_mine
test_49,haze primary habitation road cultivation slash_burn
test_50,haze primary habitation road cultivation slash_burn
test_51,haze primary habitation road cultivation slash_burn
test_52,haze primary habitation road cultivation slash_burn conventional_mine
test_53,haze primary habitation road cultivation slash_burn
test_54,haze primary road cultivation slash_burn
test_55,haze primary habitation road cultivation slash_burn
test_56,haze primary habitation road cultivation slash_burn
test_57,haze primary habitation road cultivation slash_burn
test_58,haze primary habitation road cultivation slash_burn
test_59,haze primary habitation road cultivation slash_burn conventional_mine
test_60,haze primary habitation road cultivation slash_burn
test_61,haze primary habitation road cultivation slash_burn conventional_mine
test_62,haze primary habitation road cultivation slash_burn conventional_mine
test_63,haze primary habitation road cultivation slash_burn
test_64,haze primary habitation road cultivation slash_burn
test_65,haze primary habitation road cultivation slash_burn
test_66,haze primary habitation road cultivation slash_burn
test_67,haze primary road cultivation slash_burn
test_68,haze primary habitation road cultivation slash_burn conventional_mine
test_69,haze primary habitation road cultivation slash_burn
test_70,haze primary habitation road cultivation slash_burn
test_71,haze primary habitation road cultivation slash_burn conventional_mine
test_72,haze primary habitation road cultivation slash_burn
test_73,haze primary habitation road cultivation slash_burn
test_74,haze primary habitation road cultivation slash_burn conventional_mine
test_75,haze primary habitation road cultivation slash_burn conventional_mine
test_76,haze primary habitation road cultivation slash_burn
test_77,haze primary habitation road cultivation slash_burn
test_78,haze primary habitation road cultivation slash_burn
test_79,haze primary habitation road cultivation slash_burn conventional_mine
test_80,haze primary habitation road cultivation slash_burn conventional_mine
test_81,haze primary habitation road cultivation slash_burn conventional_mine
test_82,haze primary road cultivation slash_burn
test_83,haze primary habitation road cultivation slash_burn
test_84,haze primary habitation road cultivation slash_burn
test_85,haze primary habitation road cultivation slash_burn conventional_mine
test_86,haze primary habitation road cultivation slash_burn
test_87,haze primary habitation road cultivation slash_burn conventional_mine selective_logging
test_88,haze primary habitation road cultivation slash_burn conventional_mine
test_89,haze primary habitation road cultivation slash_burn conventional_mine
test_90,haze primary habitation road cultivation slash_burn conventional_mine
test_91,haze primary habitation road cultivation slash_burn conventional_mine
test_92,haze primary habitation road cultivation slash_burn conventional_mine
test_93,haze primary habitation road cultivation slash_burn
test_94,haze primary habitation road cultivation slash_burn
test_95,haze primary habitation road cultivation slash_burn conventional_mine
test_96,haze primary road cultivation slash_burn
test_97,haze primary habitation road cultivation slash_burn
test_98,haze primary water road cultivation slash_burn selective_logging
test_99,haze primary habitation road cultivation slash_burn conventional_mine
test_100,haze primary water road cultivation slash_burn
test_101,haze primary habitation road cultivation slash_burn conventional_mine
test_102,haze primary habitation road cultivation slash_burn
test_103,haze primary habitation road cultivation slash_burn conventional_mine
test_104,haze primary habitation road cultivation slash_burn selective_logging
test_105,haze primary habitation road cultivation slash_burn
test_106,haze primary habitation road cultivation slash_burn
test_107,haze primary habitation road cultivation slash_burn
test_108,haze primary habitation road cultivation slash_burn conventional_mine
test_109,haze primary habitation road cultivation slash_burn conventional_mine
test_110,haze primary habitation road cultivation slash_burn conventional_mine blooming
test_111,haze primary habitation road cultivation slash_burn conventional_mine
test_112,haze primary road cultivation slash_burn
test_113,haze primary habitation road cultivation slash_burn
test_114,haze primary habitation road cultivation slash_burn conventional_mine
test_115,haze primary habitation road cultivation slash_burn
test_116,haze primary road cultivation slash_burn
test_117,haze primary habitation road cultivation slash_burn conventional_mine
test_118,haze primary habitation road cultivation slash_burn conventional_mine
test_119,haze primary habitation road cultivation slash_burn
test_120,haze primary habitation road cultivation slash_burn
test_121,haze primary habitation road cultivation slash_burn
test_122,haze primary habitation road cultivation slash_burn
test_123,haze primary habitation road cultivation slash_burn conventional_mine
test_124,haze primary habitation road cultivation slash_burn
test_125,haze primary habitation road cultivation slash_burn conventional_mine
test_126,haze primary habitation road cultivation slash_burn
test_127,haze primary habitation road cultivation slash_burn conventional_mine
test_128,haze primary habitation road cultivation slash_burn conventional_mine
test_129,haze primary habitation road cultivation slash_burn
test_130,haze primary habitation road cultivation slash_burn
test_131,haze primary habitation road cultivation slash_burn
test_132,haze primary habitation road cultivation slash_burn
test_133,haze primary habitation road cultivation slash_burn
test_134,haze primary road cultivation slash_burn
test_135,haze primary road cultivation slash_burn
test_136,haze primary habitation road cultivation slash_burn
test_137,haze primary habitation road cultivation slash_burn conventional_mine
test_138,haze primary habitation road cultivation slash_burn conventional_mine
test_139,haze primary habitation road cultivation slash_burn
test_140,haze primary road cultivation slash_burn
test_141,haze primary habitation road cultivation slash_burn
test_142,haze primary habitation road cultivation slash_burn
test_143,haze primary habitation road cultivation slash_burn
test_144,haze primary habitation road cultivation slash_burn conventional_mine
test_145,haze primary habitation road cultivation slash_burn conventional_mine
test_146,haze primary road cultivation slash_burn
test_147,haze primary road cultivation slash_burn conventional_mine
test_148,haze primary road cultivation slash_burn
test_149,haze primary road cultivation slash_burn
test_150,haze primary habitation road cultivation slash_burn
test_151,haze primary habitation road cultivation slash_burn conventional_mine
test_152,haze primary habitation road cultivation slash_burn
test_153,haze primary habitation road cultivation slash_burn
test_154,haze primary habitation road cultivation slash_burn
test_155,haze primary habitation road cultivation slash_burn conventional_mine
test_156,haze primary road cultivation slash_burn selective_logging
test_157,haze primary road cultivation slash_burn conventional_mine
test_158,haze primary habitation road cultivation slash_burn
test_159,haze primary road cultivation slash_burn selective_logging
test_160,haze primary habitation road cultivation slash_burn conventional_mine
test_161,haze primary habitation road cultivation slash_burn
test_162,haze primary habitation road cultivation slash_burn conventional_mine
test_163,haze primary habitation road cultivation slash_burn conventional_mine
test_164,haze primary habitation road cultivation slash_burn conventional_mine
test_165,haze primary habitation road cultivation slash_burn conventional_mine
test_166,haze primary habitation road cultivation slash_burn
test_167,haze primary habitation road cultivation slash_burn
test_168,haze primary habitation road cultivation slash_burn
test_169,haze primary habitation road cultivation slash_burn conventional_mine
test_170,haze primary habitation road cultivation slash_burn conventional_mine
test_171,haze primary habitation road cultivation slash_burn conventional_mine
test_172,haze primary habitation road cultivation slash_burn conventional_mine
test_173,haze primary habitation road cultivation slash_burn
test_174,haze primary road cultivation slash_burn
test_175,haze primary habitation road cultivation slash_burn
test_176,haze primary habitation road cultivation slash_burn
test_177,haze primary habitation road cultivation slash_burn conventional_mine
test_178,haze primary habitation road cultivation slash_burn conventional_mine
test_179,haze primary habitation road cultivation slash_burn
test_180,haze primary habitation road cultivation slash_burn
test_181,haze primary habitation road cultivation slash_burn
test_182,haze primary road cultivation slash_burn conventional_mine
test_183,haze primary habitation road cultivation slash_burn
test_184,haze primary habitation road cultivation slash_burn
test_185,haze primary habitation road cultivation slash_burn conventional_mine
test_186,haze primary habitation road cultivation slash_burn conventional_mine
test_187,haze primary habitation road cultivation slash_burn conventional_mine
test_188,haze primary habitation road cultivation slash_burn conventional_mine
test_189,haze primary habitation road cultivation slash_burn
test_190,haze primary road cultivation slash_burn
test_191,haze primary road cultivation slash_burn
test_192,haze primary habitation road cultivation slash_burn
test_193,haze primary habitation road cultivation slash_burn conventional_mine
test_194,haze primary habitation road cultivation slash_burn
test_195,haze primary habitation road cultivation slash_burn
test_196,haze primary habitation road cultivation slash_burn
test_197,haze primary habitation road cultivation slash_burn
test_198,haze primary habitation road cultivation slash_burn conventional_mine
test_199,haze primary habitation road cultivation slash_burn conventional_mine
test_200,haze primary habitation road cultivation slash_burn
test_201,haze primary habitation road cultivation slash_burn conventional_mine
test_202,haze primary water habitation road cultivation slash_burn conventional_mine selective_logging
test_203,haze primary habitation road cultivation slash_burn conventional_mine
test_204,haze primary habitation road cultivation slash_burn
test_205,haze primary habitation road cultivation slash_burn
test_206,haze primary habitation road cultivation slash_burn
test_207,haze primary habitation road cultivation slash_burn conventional_mine
test_208,haze primary habitation road cultivation slash_burn
test_209,haze primary habitation road cultivation slash_burn
test_210,haze primary habitation road cultivation slash_burn
test_211,haze primary habitation road cultivation slash_burn conventional_mine
test_212,haze primary habitation road cultivation slash_burn
test_213,haze primary habitation road cultivation slash_burn conventional_mine
test_214,haze primary habitation road cultivation slash_burn
test_215,haze primary habitation road cultivation slash_burn
test_216,haze primary road cultivation slash_burn
test_217,haze primary habitation road cultivation slash_burn
test_218,haze primary road cultivation slash_burn
test_219,haze primary habitation road cultivation slash_burn
test_220,haze primary habitation road cultivation slash_burn conventional_mine
test_221,haze primary habitation road cultivation slash_burn conventional_mine
test_222,haze primary habitation road cultivation slash_burn conventional_mine
test_223,haze primary habitation road cultivation slash_burn
test_224,haze primary habitation road cultivation slash_burn
test_225,haze primary habitation road cultivation slash_burn
test_226,haze primary habitation road cultivation slash_burn
test_227,haze primary habitation road cultivation slash_burn selective_logging
test_228,haze primary habitation road cultivation slash_burn conventional_mine
test_229,haze primary road cultivation slash_burn
test_230,haze primary habitation road cultivation slash_burn conventional_mine
test_231,haze primary road cultivation slash_burn
test_232,haze primary habitation road cultivation slash_burn
test_233,haze primary habitation road cultivation slash_burn
test_234,haze primary habitation road cultivation slash_burn
test_235,haze primary habitation road cultivation slash_burn
test_236,haze primary habitation road cultivation slash_burn
test_237,haze primary road cultivation slash_burn
test_238,haze primary road cultivation slash_burn conventional_mine
test_239,haze primary road cultivation slash_burn
test_240,haze primary habitation road cultivation slash_burn conventional_mine
test_241,haze primary habitation road cultivation slash_burn
test_242,haze primary road cultivation slash_burn conventional_mine
test_243,haze primary habitation road cultivation slash_burn
test_244,haze primary habitation road cultivation slash_burn
test_245,haze primary habitation road cultivation slash_burn
test_246,haze primary habitation road cultivation slash_burn
test_247,haze primary habitation road cultivation slash_burn
test_248,haze primary habitation road cultivation slash_burn
test_249,haze primary habitation road cultivation slash_burn conventional_mine
test_250,haze primary habitation road cultivation slash_burn
test_251,haze primary habitation road cultivation slash_burn conventional_mine
test_252,haze primary habitation road cultivation slash_burn
test_253,haze primary habitation road cultivation slash_burn conventional_mine
test_254,haze primary habitation road cultivation slash_burn
test_255,haze primary habitation road cultivation slash_burn
test_256,haze primary habitation road cultivation slash_burn
test_257,haze primary habitation cultivation slash_burn conventional_mine
test_258,haze primary habitation road cultivation slash_burn
test_259,haze primary habitation road cultivation slash_burn
test_260,haze primary habitation road cultivation slash_burn
test_261,haze primary habitation road cultivation slash_burn
test_262,haze primary water road cultivation slash_burn
test_263,haze primary road cultivation slash_burn
test_264,haze primary habitation road cultivation slash_burn
test_265,haze primary habitation road cultivation slash_burn conventional_mine
test_266,haze primary road cultivation slash_burn
test_267,haze primary habitation road cultivation slash_burn
test_268,haze primary habitation road cultivation slash_burn
test_269,haze primary habitation road cultivation slash_burn conventional_mine
test_270,haze primary habitation road cultivation slash_burn
test_271,haze primary habitation road cultivation slash_burn conventional_mine
test_272,haze primary road cultivation slash_burn conventional_mine
test_273,haze primary habitation road cultivation slash_burn
test_274,haze primary habitation road cultivation conventional_mine
test_275,haze primary habitation road cultivation slash_burn conventional_mine
test_276,haze primary habitation road cultivation slash_burn conventional_mine
test_277,haze primary habitation road cultivation slash_burn conventional_mine
test_278,haze primary habitation road cultivation slash_burn
test_279,haze primary habitation road cultivation slash_burn conventional_mine
test_280,haze primary habitation road cultivation slash_burn conventional_mine
test_281,haze primary habitation road cultivation slash_burn conventional_mine
test_282,haze primary habitation road cultivation slash_burn
test_283,haze primary habitation road cultivation slash_burn
test_284,haze primary habitation road cultivation slash_burn
test_285,haze primary habitation road cultivation slash_burn conventional_mine
test_286,haze primary habitation road cultivation slash_burn
test_287,haze primary water habitation road cultivation slash_burn
test_288,haze primary habitation road cultivation slash_burn conventional_mine blooming
test_289,haze primary habitation road cultivation slash_burn conventional_mine
test_290,haze primary habitation road cultivation slash_burn
test_291,haze primary habitation road cultivation slash_burn
test_292,haze primary habitation road cultivation slash_burn
test_293,haze primary road cultivation slash_burn
test_294,haze primary habitation road cultivation slash_burn
test_295,haze primary habitation road cultivation slash_burn conventional_mine
test_296,haze primary road cultivation slash_burn selective_logging
test_297,haze primary road cultivation slash_burn
test_298,haze primary habitation road cultivation slash_burn conventional_mine
test_299,haze primary habitation road cultivation slash_burn
test_300,haze primary habitation road cultivation slash_burn conventional_mine
test_301,haze primary habitation road cultivation slash_burn
test_302,haze primary habitation road cultivation slash_burn
test_303,haze primary habitation road cultivation slash_burn
test_304,haze primary road cultivation slash_burn
test_305,haze primary habitation road cultivation slash_burn conventional_mine
test_306,haze primary habitation road cultivation slash_burn
test_307,haze primary habitation road cultivation slash_burn
test_308,haze primary habitation road cultivation slash_burn conventional_mine
test_309,haze primary habitation road cultivation slash_burn
test_310,haze primary habitation road cultivation slash_burn conventional_mine
test_311,haze primary habitation road cultivation slash_burn
test_312,haze primary habitation road cultivation slash_burn
test_313,haze primary habitation road cultivation slash_burn conventional_mine
test_314,haze primary habitation road cultivation slash_burn conventional_mine
test_315,haze primary habitation road cultivation slash_burn conventional_mine
test_316,haze primary habitation road cultivation slash_burn conventional_mine
test_317,haze primary habitation road cultivation slash_burn
test_318,haze primary habitation road cultivation slash_burn conventional_mine
test_319,haze primary habitation road cultivation slash_burn
test_320,haze primary habitation road cultivation slash_burn
test_321,haze primary habitation road cultivation slash_burn conventional_mine
test_322,haze primary habitation road cultivation slash_burn conventional_mine
test_323,haze primary habitation road cultivation slash_burn conventional_mine
test_324,haze primary habitation road cultivation slash_burn
test_325,haze primary habitation road cultivation slash_burn conventional_mine
test_326,haze primary habitation road cultivation slash_burn
test_327,haze primary habitation road cultivation slash_burn
test_328,haze primary habitation road cultivation slash_burn
test_329,haze primary habitation road cultivation slash_burn conventional_mine
test_330,haze primary habitation road cultivation slash_burn
test_331,haze primary habitation road cultivation slash_burn conventional_mine
test_332,haze primary habitation road cultivation slash_burn
test_333,haze primary habitation road cultivation slash_burn conventional_mine
test_334,haze primary habitation road cultivation slash_burn conventional_mine
test_335,haze primary road cultivation slash_burn
test_336,haze primary habitation road cultivation slash_burn
test_337,haze primary habitation road cultivation slash_burn conventional_mine
test_338,haze primary habitation road cultivation slash_burn conventional_mine
test_339,haze primary habitation road cultivation slash_burn
test_340,haze primary habitation road cultivation slash_burn
test_341,haze primary habitation road cultivation slash_burn
test_342,haze primary habitation road cultivation slash_burn conventional_mine
test_343,haze primary habitation road cultivation slash_burn conventional_mine
test_344,haze primary habitation road cultivation slash_burn
test_345,haze primary water habitation road cultivation slash_burn selective_logging
test_346,haze primary habitation road cultivation slash_burn conventional_mine
test_347,haze primary habitation road cultivation slash_burn conventional_mine
test_348,haze primary habitation road cultivation slash_burn conventional_mine
test_349,haze primary habitation road cultivation slash_burn conventional_mine
test_350,haze primary habitation road cultivation slash_burn
test_351,haze primary habitation road cultivation slash_burn
test_352,haze primary habitation road cultivation slash_burn
test_353,haze primary habitation road cultivation slash_burn conventional_mine
test_354,haze primary road cultivation slash_burn
test_355,haze primary habitation road cultivation slash_burn
test_356,haze primary habitation road cultivation slash_burn
test_357,haze primary habitation road cultivation slash_burn
test_358,haze primary habitation road cultivation slash_burn conventional_mine
test_359,haze primary habitation road cultivation slash_burn conventional_mine
test_360,haze primary habitation road cultivation slash_burn
test_361,haze primary habitation road cultivation slash_burn
test_362,haze primary road cultivation slash_burn
test_363,haze primary road cultivation slash_burn
test_364,haze primary habitation road cultivation slash_burn conventional_mine
test_365,haze primary habitation road cultivation slash_burn conventional_mine
test_366,haze primary habitation road cultivation slash_burn
test_367,haze primary habitation road cultivation slash_burn conventional_mine
test_368,haze primary habitation road cultivation slash_burn
test_369,haze primary habitation road cultivation slash_burn
test_370,haze primary habitation road cultivation slash_burn
test_371,haze primary habitation road cultivation slash_burn
test_372,haze primary habitation road cultivation slash_burn conventional_mine
test_373,haze primary habitation road cultivation slash_burn conventional_mine
test_374,haze primary habitation road cultivation slash_burn conventional_mine
test_375,haze primary road cultivation slash_burn
test_376,haze primary habitation road cultivation slash_burn
test_377,haze habitation road cultivation slash_burn
test_378,haze primary habitation road cultivation slash_burn conventional_mine blooming
test_379,haze primary habitation road cultivation slash_burn conventional_mine
test_380,haze primary road cultivation slash_burn
test_381,haze primary habitation road cultivation slash_burn
test_382,haze primary road cultivation slash_burn
test_383,haze primary habitation road cultivation slash_burn conventional_mine
test_384,haze primary habitation road cultivation slash_burn
test_385,haze primary habitation road cultivation slash_burn
test_386,haze primary habitation road cultivation slash_burn conventional_mine
test_387,haze primary habitation road cultivation slash_burn conventional_mine
test_388,haze primary habitation road cultivation slash_burn conventional_mine
test_389,haze primary habitation road cultivation slash_burn conventional_mine
test_390,haze primary habitation road cultivation slash_burn
test_391,haze primary habitation road cultivation slash_burn
test_392,haze primary road cultivation slash_burn
test_393,haze primary habitation road cultivation slash_burn
test_394,haze primary habitation road cultivation slash_burn
test_395,haze primary habitation road cultivation slash_burn
test_396,haze primary habitation road cultivation slash_burn
test_397,haze primary habitation road cultivation slash_burn
test_398,haze primary habitation road cultivation slash_burn conventional_mine
test_399,haze primary habitation road cultivation slash_burn conventional_mine
test_400,haze primary habitation road cultivation slash_burn
test_401,haze primary habitation road cultivation slash_burn conventional_mine
test_402,haze primary habitation road cultivation slash_burn conventional_mine
test_403,haze primary habitation road cultivation slash_burn
test_404,haze primary habitation road cultivation slash_burn conventional_mine
test_405,haze primary habitation road cultivation slash_burn conventional_mine
test_406,haze primary habitation road cultivation slash_burn
test_407,haze primary habitation road cultivation slash_burn
test_408,haze primary habitation road cultivation slash_burn
test_409,haze primary habitation road cultivation slash_burn
test_410,haze primary habitation road cultivation slash_burn conventional_mine
test_411,haze primary habitation road cultivation slash_burn conventional_mine
test_412,haze primary habitation road cultivation slash_burn
test_413,haze primary habitation road cultivation slash_burn
test_414,haze primary habitation road cultivation slash_burn conventional_mine
test_415,haze primary habitation road cultivation slash_burn
test_416,haze primary habitation road cultivation slash_burn conventional_mine selective_logging
test_417,haze primary road cultivation slash_burn
test_418,haze primary habitation road cultivation slash_burn
test_419,haze primary habitation road cultivation slash_burn conventional_mine
test_420,haze primary habitation road cultivation slash_burn
test_421,haze primary habitation road cultivation slash_burn
test_422,haze primary habitation road cultivation slash_burn
test_423,haze primary habitation road cultivation slash_burn
test_424,haze primary habitation road cultivation slash_burn
test_425,haze primary habitation road cultivation slash_burn
test_426,haze primary road cultivation slash_burn
test_427,haze primary habitation road cultivation slash_burn
test_428,haze primary habitation road cultivation slash_burn
test_429,haze primary habitation road cultivation slash_burn conventional_mine
test_430,haze primary habitation road cultivation slash_burn conventional_mine selective_logging
test_431,haze primary habitation road cultivation slash_burn
test_432,haze primary habitation road cultivation slash_burn
test_433,haze primary habitation road cultivation slash_burn
test_434,haze primary habitation road cultivation slash_burn
test_435,haze primary habitation road cultivation slash_burn conventional_mine
test_436,haze primary habitation road cultivation slash_burn conventional_mine
test_437,haze primary habitation road cultivation slash_burn
test_438,haze primary habitation road cultivation slash_burn conventional_mine
test_439,haze primary habitation road cultivation slash_burn conventional_mine
test_440,haze primary habitation road cultivation slash_burn conventional_mine
test_441,haze primary road cultivation slash_burn
test_442,haze primary habitation road cultivation slash_burn conventional_mine
test_443,haze primary road cultivation slash_burn conventional_mine
test_444,haze primary habitation road cultivation slash_burn selective_logging
test_445,haze primary habitation road cultivation slash_burn
test_446,haze primary habitation road cultivation slash_burn conventional_mine
test_447,haze primary habitation road cultivation slash_burn
test_448,haze primary road cultivation slash_burn
test_449,haze primary habitation road cultivation slash_burn conventional_mine
test_450,haze primary habitation road cultivation slash_burn
test_451,haze primary habitation road cultivation slash_burn
test_452,haze primary habitation road cultivation slash_burn conventional_mine
test_453,haze primary habitation road cultivation slash_burn
test_454,haze primary habitation road cultivation slash_burn
test_455,haze primary habitation road cultivation slash_burn
test_456,haze primary road cultivation slash_burn
test_457,haze primary road cultivation slash_burn
test_458,haze primary habitation road cultivation slash_burn conventional_mine
test_459,haze primary habitation road cultivation slash_burn
test_460,haze primary road cultivation slash_burn
test_461,haze primary habitation road cultivation slash_burn
test_462,haze primary habitation road cultivation slash_burn
test_463,haze primary habitation road cultivation slash_burn
test_464,haze primary habitation road cultivation slash_burn
test_465,haze primary habitation road cultivation slash_burn
test_466,haze primary road cultivation slash_burn
test_467,haze primary habitation road cultivation slash_burn
test_468,haze primary habitation road cultivation slash_burn
test_469,haze primary habitation road cultivation slash_burn
test_470,haze primary habitation road cultivation slash_burn
test_471,haze primary habitation road cultivation slash_burn
test_472,haze primary road cultivation slash_burn
test_473,haze primary habitation road cultivation slash_burn
test_474,haze primary road cultivation slash_burn conventional_mine
test_475,haze primary habitation road cultivation slash_burn
test_476,haze primary habitation road cultivation slash_burn conventional_mine blooming
test_477,haze primary habitation road cultivation slash_burn
test_478,haze primary habitation road cultivation slash_burn conventional_mine
test_479,haze primary habitation road cultivation slash_burn conventional_mine
test_480,haze primary habitation road cultivation slash_burn
test_481,haze primary habitation road cultivation slash_burn
test_482,haze primary habitation road cultivation slash_burn
test_483,haze primary habitation road cultivation slash_burn conventional_mine
test_484,haze primary habitation road cultivation slash_burn conventional_mine
test_485,haze primary habitation road cultivation slash_burn
test_486,haze primary habitation road cultivation slash_burn
test_487,haze primary habitation road cultivation slash_burn conventional_mine
test_488,haze primary habitation road cultivation slash_burn
test_489,haze primary habitation road cultivation slash_burn conventional_mine
test_490,haze primary habitation road cultivation slash_burn conventional_mine
test_491,haze primary habitation road cultivation slash_burn conventional_mine selective_logging
test_492,haze primary habitation road cultivation slash_burn
test_493,haze primary habitation road cultivation slash_burn
test_494,haze primary habitation road cultivation slash_burn
test_495,haze primary habitation road cultivation slash_burn
test_496,haze primary road cultivation slash_burn
test_497,haze primary habitation road cultivation slash_burn
test_498,haze primary habitation road cultivation slash_burn
test_499,haze primary habitation road cultivation slash_burn conventional_mine
test_500,haze primary habitation road cultivation slash_burn
test_501,haze primary habitation road cultivation slash_burn
test_502,haze primary habitation road cultivation slash_burn conventional_mine
test_503,haze primary habitation road cultivation slash_burn conventional_mine
test_504,haze primary road cultivation slash_burn conventional_mine
test_505,haze primary habitation road cultivation slash_burn
test_506,haze primary habitation road cultivation slash_burn
test_507,haze primary habitation road cultivation slash_burn conventional_mine
test_508,haze primary habitation road cultivation slash_burn
test_509,haze primary habitation road cultivation slash_burn
test_510,haze primary habitation road cultivation slash_burn conventional_mine
test_511,haze primary habitation road cultivation slash_burn conventional_mine
test_512,haze primary habitation road cultivation slash_burn conventional_mine
test_513,haze primary habitation road cultivation slash_burn
test_514,haze primary habitation road cultivation slash_burn conventional_mine
test_515,haze primary habitation road cultivation slash_burn
test_516,haze primary road cultivation slash_burn
test_517,haze primary habitation road cultivation slash_burn
test_518,haze primary habitation road cultivation slash_burn
test_519,haze primary habitation road cultivation slash_burn
test_520,haze primary habitation road cultivation slash_burn conventional_mine
test_521,haze primary habitation road cultivation slash_burn
test_522,haze primary habitation road cultivation slash_burn conventional_mine
test_523,haze primary habitation road cultivation slash_burn
test_524,haze primary habitation road cultivation slash_burn
test_525,haze primary habitation road cultivation slash_burn
test_526,haze primary habitation road cultivation slash_burn
test_527,haze primary habitation road cultivation slash_burn
test_528,haze primary habitation road cultivation slash_burn
test_529,haze primary habitation road cultivation slash_burn
test_530,haze primary habitation road cultivation slash_burn conventional_mine
test_531,haze primary habitation road cultivation slash_burn
test_532,haze primary habitation road cultivation slash_burn
test_533,haze primary habitation road cultivation slash_burn conventional_mine
test_534,haze primary habitation road cultivation slash_burn
test_535,haze primary habitation road cultivation slash_burn
test_536,haze primary habitation road cultivation slash_burn conventional_mine
test_537,haze primary habitation road cultivation slash_burn conventional_mine
test_538,haze primary habitation road cultivation slash_burn
test_539,haze primary habitation road cultivation slash_burn conventional_mine
test_540,haze primary road cultivation slash_burn
test_541,haze primary habitation road cultivation slash_burn
test_542,haze primary habitation road cultivation slash_burn
test_543,haze primary habitation road cultivation slash_burn conventional_mine
test_544,haze primary habitation road cultivation slash_burn conventional_mine
test_545,haze primary habitation road cultivation slash_burn
test_546,haze primary habitation road cultivation slash_burn conventional_mine
test_547,haze primary habitation road cultivation slash_burn
test_548,haze primary road cultivation slash_burn conventional_mine
test_549,haze primary habitation road cultivation slash_burn
test_550,haze primary road cultivation slash_burn
test_551,haze primary habitation road cultivation slash_burn blooming
test_552,haze primary habitation road cultivation slash_burn
test_553,haze primary habitation road cultivation slash_burn conventional_mine
test_554,haze primary habitation road cultivation slash_burn
test_555,haze primary habitation road cultivation slash_burn
test_556,haze primary habitation road cultivation slash_burn conventional_mine
test_557,haze primary habitation road cultivation slash_burn
test_558,haze primary habitation road cultivation slash_burn conventional_mine
test_559,haze primary habitation road cultivation slash_burn
test_560,haze primary habitation road cultivation slash_burn
test_561,haze primary habitation road cultivation slash_burn
test_562,haze primary habitation road cultivation slash_burn
test_563,haze primary habitation road cultivation slash_burn
test_564,haze primary habitation road cultivation slash_burn
test_565,haze primary habitation road cultivation slash_burn
test_566,haze primary habitation road cultivation slash_burn
test_567,haze primary habitation road cultivation slash_burn conventional_mine
test_568,haze primary habitation road cultivation slash_burn conventional_mine
test_569,haze primary habitation road cultivation slash_burn
test_570,haze primary habitation road cultivation slash_burn conventional_mine
test_571,haze primary habitation road cultivation slash_burn
test_572,haze primary habitation road cultivation slash_burn
test_573,haze primary habitation road cultivation slash_burn
test_574,haze primary habitation road cultivation slash_burn
test_575,haze primary habitation road cultivation slash_burn
test_576,haze primary habitation road cultivation slash_burn
test_577,haze primary road cultivation slash_burn
test_578,haze primary habitation road cultivation slash_burn conventional_mine
test_579,haze primary habitation road cultivation slash_burn
test_580,haze primary habitation road cultivation slash_burn
test_581,haze primary habitation road cultivation slash_burn
